"seqnames"	"start"	"end"	"width"	"strand"	"feature_name"	"feature_id"	"RNA_type"	"annot_name"	"annot_id"
"hsa_mir_5697_MI0019304;type=miRNA"	10	31	22	"*"	"hsa_miR_5697_MIMAT0022490"	"MIMAT0022490"	"miRNA"	"hsa_miR_5697_MIMAT0022490"	"MIMAT0022490"
"hsa_mir_6729_MI0022574;type=miRNA"	6	27	22	"*"	"hsa_miR_6729_5p_MIMAT0027359"	"MIMAT0027359"	"miRNA"	"hsa_miR_6729_5p_MIMAT0027359"	"MIMAT0027359"
"hsa_mir_6729_MI0022574;type=miRNA"	45	65	21	"*"	"hsa_miR_6729_3p_MIMAT0027360"	"MIMAT0027360"	"miRNA"	"hsa_miR_6729_3p_MIMAT0027360"	"MIMAT0027360"
"hsa_mir_7846_MI0025516;type=miRNA"	68	88	21	"*"	"hsa_miR_7846_3p_MIMAT0030421"	"MIMAT0030421"	"miRNA"	"hsa_miR_7846_3p_MIMAT0030421"	"MIMAT0030421"
"hsa_mir_4632_MI0017259;type=miRNA"	40	61	22	"*"	"hsa_miR_4632_3p_MIMAT0019688"	"MIMAT0019688"	"miRNA"	"hsa_miR_4632_3p_MIMAT0019688"	"MIMAT0019688"
"hsa_mir_4632_MI0017259;type=miRNA"	1	23	23	"*"	"hsa_miR_4632_5p_MIMAT0022977"	"MIMAT0022977"	"miRNA"	"hsa_miR_4632_5p_MIMAT0022977"	"MIMAT0022977"
"hsa_mir_6730_MI0022575;type=miRNA"	40	62	23	"*"	"hsa_miR_6730_5p_MIMAT0027361"	"MIMAT0027361"	"miRNA"	"hsa_miR_6730_5p_MIMAT0027361"	"MIMAT0027361"
"hsa_mir_6730_MI0022575;type=miRNA"	2	23	22	"*"	"hsa_miR_6730_3p_MIMAT0027362"	"MIMAT0027362"	"miRNA"	"hsa_miR_6730_3p_MIMAT0027362"	"MIMAT0027362"
"hsa_mir_3675_MI0016076;type=miRNA"	40	62	23	"*"	"hsa_miR_3675_5p_MIMAT0018098"	"MIMAT0018098"	"miRNA"	"hsa_miR_3675_5p_MIMAT0018098"	"MIMAT0018098"
"hsa_mir_3675_MI0016076;type=miRNA"	10	31	22	"*"	"hsa_miR_3675_3p_MIMAT0018099"	"MIMAT0018099"	"miRNA"	"hsa_miR_3675_3p_MIMAT0018099"	"MIMAT0018099"
"hsa_mir_3972_MI0016990;type=miRNA"	60	81	22	"*"	"hsa_miR_3972_MIMAT0019357"	"MIMAT0019357"	"miRNA"	"hsa_miR_3972_MIMAT0019357"	"MIMAT0019357"
"hsa_mir_4695_MI0017328;type=miRNA"	49	70	22	"*"	"hsa_miR_4695_5p_MIMAT0019788"	"MIMAT0019788"	"miRNA"	"hsa_miR_4695_5p_MIMAT0019788"	"MIMAT0019788"
"hsa_mir_4695_MI0017328;type=miRNA"	3	24	22	"*"	"hsa_miR_4695_3p_MIMAT0019789"	"MIMAT0019789"	"miRNA"	"hsa_miR_4695_3p_MIMAT0019789"	"MIMAT0019789"
"hsa_mir_1290_MI0006352;type=miRNA"	8	26	19	"*"	"hsa_miR_1290_MIMAT0005880"	"MIMAT0005880"	"miRNA"	"hsa_miR_1290_MIMAT0005880"	"MIMAT0005880"
"hsa_mir_6084_MI0020361;type=miRNA"	78	97	20	"*"	"hsa_miR_6084_MIMAT0023709"	"MIMAT0023709"	"miRNA"	"hsa_miR_6084_MIMAT0023709"	"MIMAT0023709"
"hsa_mir_1256_MI0006390;type=miRNA"	64	85	22	"*"	"hsa_miR_1256_MIMAT0005907"	"MIMAT0005907"	"miRNA"	"hsa_miR_1256_MIMAT0005907"	"MIMAT0005907"
"hsa_mir_4418_MI0016754;type=miRNA"	39	56	18	"*"	"hsa_miR_4418_MIMAT0018930"	"MIMAT0018930"	"miRNA"	"hsa_miR_4418_MIMAT0018930"	"MIMAT0018930"
"hsa_mir_6127_MI0021271;type=miRNA"	71	89	19	"*"	"hsa_miR_6127_MIMAT0024610"	"MIMAT0024610"	"miRNA"	"hsa_miR_6127_MIMAT0024610"	"MIMAT0024610"
"hsa_mir_4684_MI0017316;type=miRNA"	14	35	22	"*"	"hsa_miR_4684_5p_MIMAT0019769"	"MIMAT0019769"	"miRNA"	"hsa_miR_4684_5p_MIMAT0019769"	"MIMAT0019769"
"hsa_mir_4684_MI0017316;type=miRNA"	50	71	22	"*"	"hsa_miR_4684_3p_MIMAT0019770"	"MIMAT0019770"	"miRNA"	"hsa_miR_4684_3p_MIMAT0019770"	"MIMAT0019770"
"hsa_mir_4253_MI0015860;type=miRNA"	11	28	18	"*"	"hsa_miR_4253_MIMAT0016882"	"MIMAT0016882"	"miRNA"	"hsa_miR_4253_MIMAT0016882"	"MIMAT0016882"
"hsa_mir_3115_MI0014127;type=miRNA"	6	25	20	"*"	"hsa_miR_3115_MIMAT0014977"	"MIMAT0014977"	"miRNA"	"hsa_miR_3115_MIMAT0014977"	"MIMAT0014977"
"hsa_mir_378f_MI0016756;type=miRNA"	52	71	20	"*"	"hsa_miR_378f_MIMAT0018932"	"MIMAT0018932"	"miRNA"	"hsa_miR_378f_MIMAT0018932"	"MIMAT0018932"
"hsa_mir_6731_MI0022576;type=miRNA"	46	67	22	"*"	"hsa_miR_6731_5p_MIMAT0027363"	"MIMAT0027363"	"miRNA"	"hsa_miR_6731_5p_MIMAT0027363"	"MIMAT0027363"
"hsa_mir_6731_MI0022576;type=miRNA"	1	21	21	"*"	"hsa_miR_6731_3p_MIMAT0027364"	"MIMAT0027364"	"miRNA"	"hsa_miR_6731_3p_MIMAT0027364"	"MIMAT0027364"
"hsa_mir_4425_MI0016764;type=miRNA"	50	71	22	"*"	"hsa_miR_4425_MIMAT0018940"	"MIMAT0018940"	"miRNA"	"hsa_miR_4425_MIMAT0018940"	"MIMAT0018940"
"hsa_mir_3917_MI0016423;type=miRNA"	23	42	20	"*"	"hsa_miR_3917_MIMAT0018191"	"MIMAT0018191"	"miRNA"	"hsa_miR_3917_MIMAT0018191"	"MIMAT0018191"
"hsa_mir_1976_MI0009986;type=miRNA"	33	52	20	"*"	"hsa_miR_1976_MIMAT0009451"	"MIMAT0009451"	"miRNA"	"hsa_miR_1976_MIMAT0009451"	"MIMAT0009451"
"hsa_mir_4420_MI0016757;type=miRNA"	3	24	22	"*"	"hsa_miR_4420_MIMAT0018933"	"MIMAT0018933"	"miRNA"	"hsa_miR_4420_MIMAT0018933"	"MIMAT0018933"
"hsa_mir_4254_MI0015862;type=miRNA"	11	33	23	"*"	"hsa_miR_4254_MIMAT0016884"	"MIMAT0016884"	"miRNA"	"hsa_miR_4254_MIMAT0016884"	"MIMAT0016884"
"hsa_mir_5585_MI0019142;type=miRNA"	1	22	22	"*"	"hsa_miR_5585_5p_MIMAT0022285"	"MIMAT0022285"	"miRNA"	"hsa_miR_5585_5p_MIMAT0022285"	"MIMAT0022285"
"hsa_mir_5585_MI0019142;type=miRNA"	38	59	22	"*"	"hsa_miR_5585_3p_MIMAT0022286"	"MIMAT0022286"	"miRNA"	"hsa_miR_5585_3p_MIMAT0022286"	"MIMAT0022286"
"hsa_mir_3605_MI0015995;type=miRNA"	57	79	23	"*"	"hsa_miR_3605_5p_MIMAT0017981"	"MIMAT0017981"	"miRNA"	"hsa_miR_3605_5p_MIMAT0017981"	"MIMAT0017981"
"hsa_mir_3605_MI0015995;type=miRNA"	13	35	23	"*"	"hsa_miR_3605_3p_MIMAT0017982"	"MIMAT0017982"	"miRNA"	"hsa_miR_3605_3p_MIMAT0017982"	"MIMAT0017982"
"hsa_mir_552_MI0003557;type=miRNA"	16	36	21	"*"	"hsa_miR_552_3p_MIMAT0003215"	"MIMAT0003215"	"miRNA"	"hsa_miR_552_3p_MIMAT0003215"	"MIMAT0003215"
"hsa_mir_552_MI0003557;type=miRNA"	52	72	21	"*"	"hsa_miR_552_5p_MIMAT0026615"	"MIMAT0026615"	"miRNA"	"hsa_miR_552_5p_MIMAT0026615"	"MIMAT0026615"
"hsa_mir_4255_MI0015863;type=miRNA"	11	27	17	"*"	"hsa_miR_4255_MIMAT0016885"	"MIMAT0016885"	"miRNA"	"hsa_miR_4255_MIMAT0016885"	"MIMAT0016885"
"hsa_mir_6732_MI0022577;type=miRNA"	6	25	20	"*"	"hsa_miR_6732_5p_MIMAT0027365"	"MIMAT0027365"	"miRNA"	"hsa_miR_6732_5p_MIMAT0027365"	"MIMAT0027365"
"hsa_mir_6732_MI0022577;type=miRNA"	38	60	23	"*"	"hsa_miR_6732_3p_MIMAT0027366"	"MIMAT0027366"	"miRNA"	"hsa_miR_6732_3p_MIMAT0027366"	"MIMAT0027366"
"hsa_mir_5581_MI0019136;type=miRNA"	39	60	22	"*"	"hsa_miR_5581_5p_MIMAT0022275"	"MIMAT0022275"	"miRNA"	"hsa_miR_5581_5p_MIMAT0022275"	"MIMAT0022275"
"hsa_mir_5581_MI0019136;type=miRNA"	1	22	22	"*"	"hsa_miR_5581_3p_MIMAT0022276"	"MIMAT0022276"	"miRNA"	"hsa_miR_5581_3p_MIMAT0022276"	"MIMAT0022276"
"hsa_mir_3659_MI0016060;type=miRNA"	59	79	21	"*"	"hsa_miR_3659_MIMAT0018080"	"MIMAT0018080"	"miRNA"	"hsa_miR_3659_MIMAT0018080"	"MIMAT0018080"
"hsa_mir_30e_MI0000749;type=miRNA"	17	38	22	"*"	"hsa_miR_30e_5p_MIMAT0000692"	"MIMAT0000692"	"miRNA"	"hsa_miR_30e_5p_MIMAT0000692"	"MIMAT0000692"
"hsa_mir_30e_MI0000749;type=miRNA"	59	80	22	"*"	"hsa_miR_30e_3p_MIMAT0000693"	"MIMAT0000693"	"miRNA"	"hsa_miR_30e_3p_MIMAT0000693"	"MIMAT0000693"
"hsa_mir_30c_1_MI0000736;type=miRNA"	17	39	23	"*"	"hsa_miR_30c_5p_MIMAT0000244"	"MIMAT0000244"	"miRNA"	"hsa_miR_30c_5p_MIMAT0000244"	"MIMAT0000244"
"hsa_mir_30c_1_MI0000736;type=miRNA"	56	77	22	"*"	"hsa_miR_30c_1_3p_MIMAT0004674"	"MIMAT0004674"	"miRNA"	"hsa_miR_30c_1_3p_MIMAT0004674"	"MIMAT0004674"
"hsa_mir_6733_MI0022578;type=miRNA"	35	56	22	"*"	"hsa_miR_6733_5p_MIMAT0027367"	"MIMAT0027367"	"miRNA"	"hsa_miR_6733_5p_MIMAT0027367"	"MIMAT0027367"
"hsa_mir_6733_MI0022578;type=miRNA"	1	20	20	"*"	"hsa_miR_6733_3p_MIMAT0027368"	"MIMAT0027368"	"miRNA"	"hsa_miR_6733_3p_MIMAT0027368"	"MIMAT0027368"
"hsa_mir_6734_MI0022579;type=miRNA"	41	63	23	"*"	"hsa_miR_6734_5p_MIMAT0027369"	"MIMAT0027369"	"miRNA"	"hsa_miR_6734_5p_MIMAT0027369"	"MIMAT0027369"
"hsa_mir_6734_MI0022579;type=miRNA"	1	23	23	"*"	"hsa_miR_6734_3p_MIMAT0027370"	"MIMAT0027370"	"miRNA"	"hsa_miR_6734_3p_MIMAT0027370"	"MIMAT0027370"
"hsa_mir_6735_MI0022580;type=miRNA"	6	30	25	"*"	"hsa_miR_6735_5p_MIMAT0027371"	"MIMAT0027371"	"miRNA"	"hsa_miR_6735_5p_MIMAT0027371"	"MIMAT0027371"
"hsa_mir_6735_MI0022580;type=miRNA"	52	73	22	"*"	"hsa_miR_6735_3p_MIMAT0027372"	"MIMAT0027372"	"miRNA"	"hsa_miR_6735_3p_MIMAT0027372"	"MIMAT0027372"
"hsa_mir_6079_MI0020356;type=miRNA"	36	59	24	"*"	"hsa_miR_6079_MIMAT0023704"	"MIMAT0023704"	"miRNA"	"hsa_miR_6079_MIMAT0023704"	"MIMAT0023704"
"hsa_mir_5584_MI0019141;type=miRNA"	1	22	22	"*"	"hsa_miR_5584_5p_MIMAT0022283"	"MIMAT0022283"	"miRNA"	"hsa_miR_5584_5p_MIMAT0022283"	"MIMAT0022283"
"hsa_mir_5584_MI0019141;type=miRNA"	39	60	22	"*"	"hsa_miR_5584_3p_MIMAT0022284"	"MIMAT0022284"	"miRNA"	"hsa_miR_5584_3p_MIMAT0022284"	"MIMAT0022284"
"hsa_mir_4421_MI0016758;type=miRNA"	43	64	22	"*"	"hsa_miR_4421_MIMAT0018934"	"MIMAT0018934"	"miRNA"	"hsa_miR_4421_MIMAT0018934"	"MIMAT0018934"
"hsa_mir_6500_MI0022211;type=miRNA"	14	37	24	"*"	"hsa_miR_6500_5p_MIMAT0025454"	"MIMAT0025454"	"miRNA"	"hsa_miR_6500_5p_MIMAT0025454"	"MIMAT0025454"
"hsa_mir_6500_MI0022211;type=miRNA"	55	75	21	"*"	"hsa_miR_6500_3p_MIMAT0025455"	"MIMAT0025455"	"miRNA"	"hsa_miR_6500_3p_MIMAT0025455"	"MIMAT0025455"
"hsa_mir_761_MI0003941;type=miRNA"	32	53	22	"*"	"hsa_miR_761_MIMAT0010364"	"MIMAT0010364"	"miRNA"	"hsa_miR_761_MIMAT0010364"	"MIMAT0010364"
"hsa_mir_4781_MI0017426;type=miRNA"	13	33	21	"*"	"hsa_miR_4781_5p_MIMAT0019942"	"MIMAT0019942"	"miRNA"	"hsa_miR_4781_5p_MIMAT0019942"	"MIMAT0019942"
"hsa_mir_4781_MI0017426;type=miRNA"	46	67	22	"*"	"hsa_miR_4781_3p_MIMAT0019943"	"MIMAT0019943"	"miRNA"	"hsa_miR_4781_3p_MIMAT0019943"	"MIMAT0019943"
"hsa_mir_4422_MI0016759;type=miRNA"	16	36	21	"*"	"hsa_miR_4422_MIMAT0018935"	"MIMAT0018935"	"miRNA"	"hsa_miR_4422_MIMAT0018935"	"MIMAT0018935"
"hsa_mir_4711_MI0017345;type=miRNA"	43	65	23	"*"	"hsa_miR_4711_5p_MIMAT0019816"	"MIMAT0019816"	"miRNA"	"hsa_miR_4711_5p_MIMAT0019816"	"MIMAT0019816"
"hsa_mir_4711_MI0017345;type=miRNA"	9	26	18	"*"	"hsa_miR_4711_3p_MIMAT0019817"	"MIMAT0019817"	"miRNA"	"hsa_miR_4711_3p_MIMAT0019817"	"MIMAT0019817"
"hsa_mir_12132_MI0039734;type=miRNA"	66	87	22	"*"	"hsa_miR_12132_MIMAT0049026"	"MIMAT0049026"	"miRNA"	"hsa_miR_12132_MIMAT0049026"	"MIMAT0049026"
"hsa_mir_3116_1_MI0014128;type=miRNA"	45	66	22	"*"	"hsa_miR_3116_MIMAT0014978"	"MIMAT0014978"	"miRNA"	"hsa_miR_3116_MIMAT0014978"	"MIMAT0014978"
"hsa_mir_3116_2_MI0014129;type=miRNA"	6	27	22	"*"	"hsa_miR_3116_MIMAT0014978_1"	"MIMAT0014978_1"	"miRNA"	"hsa_miR_3116_MIMAT0014978_1"	"MIMAT0014978_1"
"hsa_mir_6068_MI0020345;type=miRNA"	40	60	21	"*"	"hsa_miR_6068_MIMAT0023693"	"MIMAT0023693"	"miRNA"	"hsa_miR_6068_MIMAT0023693"	"MIMAT0023693"
"hsa_mir_4794_MI0017441;type=miRNA"	9	30	22	"*"	"hsa_miR_4794_MIMAT0019967"	"MIMAT0019967"	"miRNA"	"hsa_miR_4794_MIMAT0019967"	"MIMAT0019967"
"hsa_mir_3671_MI0016072;type=miRNA"	8	29	22	"*"	"hsa_miR_3671_MIMAT0018094"	"MIMAT0018094"	"miRNA"	"hsa_miR_3671_MIMAT0018094"	"MIMAT0018094"
"hsa_mir_101_1_MI0000103;type=miRNA"	44	65	22	"*"	"hsa_miR_101_5p_MIMAT0004513"	"MIMAT0004513"	"miRNA"	"hsa_miR_101_5p_MIMAT0004513"	"MIMAT0004513"
"hsa_mir_101_1_MI0000103;type=miRNA"	9	29	21	"*"	"hsa_miR_101_3p_MIMAT0000099"	"MIMAT0000099"	"miRNA"	"hsa_miR_101_3p_MIMAT0000099"	"MIMAT0000099"
"hsa_mir_3117_MI0014130;type=miRNA"	46	66	21	"*"	"hsa_miR_3117_3p_MIMAT0014979"	"MIMAT0014979"	"miRNA"	"hsa_miR_3117_3p_MIMAT0014979"	"MIMAT0014979"
"hsa_mir_3117_MI0014130;type=miRNA"	13	32	20	"*"	"hsa_miR_3117_5p_MIMAT0019197"	"MIMAT0019197"	"miRNA"	"hsa_miR_3117_5p_MIMAT0019197"	"MIMAT0019197"
"hsa_mir_1262_MI0006397;type=miRNA"	59	80	22	"*"	"hsa_miR_1262_MIMAT0005914"	"MIMAT0005914"	"miRNA"	"hsa_miR_1262_MIMAT0005914"	"MIMAT0005914"
"hsa_mir_186_MI0000483;type=miRNA"	51	72	22	"*"	"hsa_miR_186_5p_MIMAT0000456"	"MIMAT0000456"	"miRNA"	"hsa_miR_186_5p_MIMAT0000456"	"MIMAT0000456"
"hsa_mir_186_MI0000483;type=miRNA"	12	33	22	"*"	"hsa_miR_186_3p_MIMAT0004612"	"MIMAT0004612"	"miRNA"	"hsa_miR_186_3p_MIMAT0004612"	"MIMAT0004612"
"hsa_mir_7156_MI0023616;type=miRNA"	1	23	23	"*"	"hsa_miR_7156_5p_MIMAT0028222"	"MIMAT0028222"	"miRNA"	"hsa_miR_7156_5p_MIMAT0028222"	"MIMAT0028222"
"hsa_mir_7156_MI0023616;type=miRNA"	38	60	23	"*"	"hsa_miR_7156_3p_MIMAT0028223"	"MIMAT0028223"	"miRNA"	"hsa_miR_7156_3p_MIMAT0028223"	"MIMAT0028223"
"hsa_mir_4423_MI0016760;type=miRNA"	13	34	22	"*"	"hsa_miR_4423_5p_MIMAT0019232"	"MIMAT0019232"	"miRNA"	"hsa_miR_4423_5p_MIMAT0019232"	"MIMAT0019232"
"hsa_mir_4423_MI0016760;type=miRNA"	49	69	21	"*"	"hsa_miR_4423_3p_MIMAT0018936"	"MIMAT0018936"	"miRNA"	"hsa_miR_4423_3p_MIMAT0018936"	"MIMAT0018936"
"hsa_mir_7856_MI0025526;type=miRNA"	34	54	21	"*"	"hsa_miR_7856_5p_MIMAT0030431"	"MIMAT0030431"	"miRNA"	"hsa_miR_7856_5p_MIMAT0030431"	"MIMAT0030431"
"hsa_mir_760_MI0005567;type=miRNA"	49	68	20	"*"	"hsa_miR_760_MIMAT0004957"	"MIMAT0004957"	"miRNA"	"hsa_miR_760_MIMAT0004957"	"MIMAT0004957"
"hsa_mir_12133_MI0039735;type=miRNA"	53	74	22	"*"	"hsa_miR_12133_MIMAT0049027"	"MIMAT0049027"	"miRNA"	"hsa_miR_12133_MIMAT0049027"	"MIMAT0049027"
"hsa_mir_2682_MI0012063;type=miRNA"	66	88	23	"*"	"hsa_miR_2682_5p_MIMAT0013517"	"MIMAT0013517"	"miRNA"	"hsa_miR_2682_5p_MIMAT0013517"	"MIMAT0013517"
"hsa_mir_2682_MI0012063;type=miRNA"	30	51	22	"*"	"hsa_miR_2682_3p_MIMAT0013518"	"MIMAT0013518"	"miRNA"	"hsa_miR_2682_3p_MIMAT0013518"	"MIMAT0013518"
"hsa_mir_137_MI0000454;type=miRNA"	22	44	23	"*"	"hsa_miR_137_3p_MIMAT0000429"	"MIMAT0000429"	"miRNA"	"hsa_miR_137_3p_MIMAT0000429"	"MIMAT0000429"
"hsa_mir_137_MI0000454;type=miRNA"	58	80	23	"*"	"hsa_miR_137_5p_MIMAT0037310"	"MIMAT0037310"	"miRNA"	"hsa_miR_137_5p_MIMAT0037310"	"MIMAT0037310"
"hsa_mir_553_MI0003558;type=miRNA"	16	36	21	"*"	"hsa_miR_553_MIMAT0003216"	"MIMAT0003216"	"miRNA"	"hsa_miR_553_MIMAT0003216"	"MIMAT0003216"
"hsa_mir_7852_MI0025522;type=miRNA"	60	81	22	"*"	"hsa_miR_7852_3p_MIMAT0030427"	"MIMAT0030427"	"miRNA"	"hsa_miR_7852_3p_MIMAT0030427"	"MIMAT0030427"
"hsa_mir_197_MI0000239;type=miRNA"	48	69	22	"*"	"hsa_miR_197_3p_MIMAT0000227"	"MIMAT0000227"	"miRNA"	"hsa_miR_197_3p_MIMAT0000227"	"MIMAT0000227"
"hsa_mir_197_MI0000239;type=miRNA"	9	31	23	"*"	"hsa_miR_197_5p_MIMAT0022691"	"MIMAT0022691"	"miRNA"	"hsa_miR_197_5p_MIMAT0022691"	"MIMAT0022691"
"hsa_mir_4256_MI0015855;type=miRNA"	37	54	18	"*"	"hsa_miR_4256_MIMAT0016877"	"MIMAT0016877"	"miRNA"	"hsa_miR_4256_MIMAT0016877"	"MIMAT0016877"
"hsa_mir_11399_MI0036558;type=miRNA"	11	32	22	"*"	"hsa_miR_11399_MIMAT0044656"	"MIMAT0044656"	"miRNA"	"hsa_miR_11399_MIMAT0044656"	"MIMAT0044656"
"hsa_mir_548ac_MI0016762;type=miRNA"	15	36	22	"*"	"hsa_miR_548ac_MIMAT0018938"	"MIMAT0018938"	"miRNA"	"hsa_miR_548ac_MIMAT0018938"	"MIMAT0018938"
"hsa_mir_320b_1_MI0003776;type=miRNA"	42	63	22	"*"	"hsa_miR_320b_MIMAT0005792"	"MIMAT0005792"	"miRNA"	"hsa_miR_320b_MIMAT0005792"	"MIMAT0005792"
"hsa_mir_942_MI0005767;type=miRNA"	13	34	22	"*"	"hsa_miR_942_5p_MIMAT0004985"	"MIMAT0004985"	"miRNA"	"hsa_miR_942_5p_MIMAT0004985"	"MIMAT0004985"
"hsa_mir_942_MI0005767;type=miRNA"	53	74	22	"*"	"hsa_miR_942_3p_MIMAT0026734"	"MIMAT0026734"	"miRNA"	"hsa_miR_942_3p_MIMAT0026734"	"MIMAT0026734"
"hsa_mir_6736_MI0022581;type=miRNA"	34	54	21	"*"	"hsa_miR_6736_5p_MIMAT0027373"	"MIMAT0027373"	"miRNA"	"hsa_miR_6736_5p_MIMAT0027373"	"MIMAT0027373"
"hsa_mir_6736_MI0022581;type=miRNA"	1	21	21	"*"	"hsa_miR_6736_3p_MIMAT0027374"	"MIMAT0027374"	"miRNA"	"hsa_miR_6736_3p_MIMAT0027374"	"MIMAT0027374"
"hsa_mir_5087_MI0017976;type=miRNA"	44	66	23	"*"	"hsa_miR_5087_MIMAT0021079"	"MIMAT0021079"	"miRNA"	"hsa_miR_5087_MIMAT0021079"	"MIMAT0021079"
"hsa_mir_6077_MI0020354;type=miRNA"	13	33	21	"*"	"hsa_miR_6077_MIMAT0023702"	"MIMAT0023702"	"miRNA"	"hsa_miR_6077_MIMAT0023702"	"MIMAT0023702"
"hsa_mir_6878_MI0022725;type=miRNA"	6	28	23	"*"	"hsa_miR_6878_5p_MIMAT0027656"	"MIMAT0027656"	"miRNA"	"hsa_miR_6878_5p_MIMAT0027656"	"MIMAT0027656"
